collateral_token,date,liquidation_count,liquidation_usd
USDT,2026-01-05 00:00:00.000 UTC,1,467531.754772
USDT,2026-01-06 00:00:00.000 UTC,1,17223.06849
USDT,2026-01-11 00:00:00.000 UTC,1,8266.737338
USDC,2026-01-13 00:00:00.000 UTC,2,156.246064
USDT,2026-01-13 00:00:00.000 UTC,3,135697.98644
USDT,2026-01-14 00:00:00.000 UTC,1,1883.04098
USDC,2026-01-18 00:00:00.000 UTC,1,42.168475
USDT,2026-01-19 00:00:00.000 UTC,1,10900.573716
USDT,2026-01-20 00:00:00.000 UTC,1,2725.825739
USDC,2026-01-25 00:00:00.000 UTC,1,5650.111154
USDT,2026-01-28 00:00:00.000 UTC,1,2.156917
USDC,2026-01-29 00:00:00.000 UTC,2,5.3632919999999995
USDT,2026-01-29 00:00:00.000 UTC,1,27326.101672
USDC,2026-01-30 00:00:00.000 UTC,1,8.21374
USDT,2026-01-30 00:00:00.000 UTC,1,6564.855256
DAI,2026-01-31 00:00:00.000 UTC,1,1005277264168714.1
USDC,2026-01-31 00:00:00.000 UTC,13,92534.520199
USDT,2026-01-31 00:00:00.000 UTC,9,28421.171666000002
